time (s),/Bin<1> (V),Expression ,Value,Value,time (s),/Bin<0> (V),/Ain<0> (V),,
2.06E-08,1.8, , , ,1.19E-09,1.8,0,,
1.21E-08,1.8, , , ,1.24E-09,1.8,0,,
1.21E-08,1.8, , , ,1.31E-09,1.8,0,,
1.21E-08,1.8, , , ,1.38E-09,1.8,0,,
1.21E-08,1.8, , , ,1.43E-09,1.8,0,,
1.21E-08,1.8, , , ,1.46E-09,1.8,0,,
1.21E-08,1.8, , , ,1.50E-09,1.8,0,,
8.30E-09,1.8, , , ,1.57E-09,1.8,0,,
8.21E-09,1.8, , , ,1.69E-09,1.8,0,,
8.21E-09,1.8, , , ,1.79E-09,1.8,0,,
8.21E-09,1.8, , , ,1.90E-09,1.8,0,,
8.22E-09,1.8, , , ,2.00E-09,1.8,0,,
8.22E-09,1.8, , , ,2.01E-09,1.8,1.25E-01,,
8.23E-09,1.8, , , ,2.02E-09,1.8,3.20E-01,,
8.23E-09,1.8, , , ,2.03E-09,1.8,4.82E-01,,
8.24E-09,1.8, , , ,2.03E-09,1.8,5.62E-01,,
8.25E-09,1.8, , , ,2.04E-09,1.8,6.52E-01,,
8.25E-09,1.8, , , ,2.04E-09,1.8,7.44E-01,,
8.26E-09,1.8, , , ,2.05E-09,1.8,8.55E-01,,
8.27E-09,1.8, , , ,2.05E-09,1.8,9.22E-01,,
8.29E-09,1.8, , , ,2.06E-09,1.8,9.96E-01,,
8.20E-09,1.8, , , ,2.06E-09,1.8,1.076,,
8.31E-09,1.8, , , ,2.07E-09,1.8,1.224,,
8.32E-09,1.8, , , ,2.07E-09,1.8,1.333,,
8.33E-09,1.8, , , ,2.08E-09,1.8,1.484,,
8.34E-09,1.8, , , ,2.09E-09,1.8,1.642,,
8.35E-09,1.8, , , ,2.10E-09,1.8,1.721,,
8.36E-09,1.8, , , ,2.10E-09,1.8,1.8,,
8.38E-09,1.8, , , ,2.10E-09,1.764,1.8,,
8.39E-09,1.8, , , ,2.11E-09,1.717,1.8,,
8.41E-09,1.8, , , ,2.11E-09,1.673,1.8,,
8.42E-09,1.8, , , ,2.11E-09,1.604,1.8,,
8.44E-09,1.8, , , ,2.12E-09,1.52,1.8,,
8.47E-09,1.8, , , ,2.12E-09,1.406,1.8,,
8.11E-09,1.8, , , ,2.13E-09,1.325,1.8,,
2.44E-08,1.8, , , ,2.13E-09,1.25,1.8,,
2.43E-08,1.8, , , ,2.14E-09,1.157,1.8,,
2.43E-08,1.8, , , ,2.14E-09,1.035,1.8,,
2.43E-08,1.8, , , ,2.15E-09,8.87E-01,1.8,,
2.43E-08,1.8, , , ,2.16E-09,7.70E-01,1.8,,
2.43E-08,1.8, , , ,2.17E-09,6.14E-01,1.8,,
2.43E-08,1.8, , , ,2.18E-09,4.35E-01,1.8,,
2.43E-08,1.8, , , ,2.19E-09,2.69E-01,1.8,,
2.43E-08,1.8, , , ,2.19E-09,1.35E-01,1.8,,
2.43E-08,1.8, , , ,2.20E-09,0,1.8,,
2.43E-08,1.8, , , ,2.20E-09,0,1.8,,
2.42E-08,1.8, , , ,2.21E-09,0,1.8,,
8.10E-09,1.8, , , ,2.21E-09,0,1.8,,
8.48E-09,1.8, , , ,2.21E-09,0,1.8,,
8.11E-09,1.8, , , ,2.22E-09,0,1.8,,
8.12E-09,1.8, , , ,2.22E-09,0,1.8,,
8.12E-09,1.8, , , ,2.22E-09,0,1.8,,
8.13E-09,1.8, , , ,2.22E-09,0,1.8,,
8.13E-09,1.8, , , ,2.23E-09,0,1.8,,
8.14E-09,1.8, , , ,2.23E-09,0,1.8,,
8.15E-09,1.8, , , ,2.24E-09,0,1.8,,
8.16E-09,1.8, , , ,2.24E-09,0,1.8,,
8.17E-09,1.8, , , ,2.25E-09,0,1.8,,
8.18E-09,1.8, , , ,2.26E-09,0,1.8,,
8.19E-09,1.8, , , ,2.27E-09,0,1.8,,
8.20E-09,1.8, , , ,2.28E-09,0,1.8,,
9.86E-09,1.8, , , ,2.30E-09,0,1.8,,
8.87E-09,1.8, , , ,2.31E-09,0,1.8,,
8.90E-09,1.8, , , ,2.33E-09,0,1.8,,
8.94E-09,1.8, , , ,2.35E-09,0,1.8,,
8.99E-09,1.8, , , ,2.37E-09,0,1.8,,
9.06E-09,1.8, , , ,2.39E-09,0,1.8,,
9.12E-09,1.8, , , ,2.40E-09,0,1.8,,
9.18E-09,1.8, , , ,2.41E-09,0,1.8,,
9.25E-09,1.8, , , ,2.42E-09,0,1.8,,
9.30E-09,1.8, , , ,2.42E-09,0,1.8,,
9.40E-09,1.8, , , ,2.43E-09,0,1.8,,
9.50E-09,1.8, , , ,2.44E-09,0,1.8,,
9.61E-09,1.8, , , ,2.44E-09,0,1.8,,
9.73E-09,1.8, , , ,2.45E-09,0,1.8,,
8.84E-09,1.8, , , ,2.46E-09,0,1.8,,
1.00E-08,1.8, , , ,2.47E-09,0,1.8,,
1.00E-08,1.8, , , ,2.48E-09,0,1.8,,
1.00E-08,1.8, , , ,2.50E-09,0,1.8,,
1.00E-08,1.8, , , ,2.51E-09,0,1.8,,
1.00E-08,1.8, , , ,2.53E-09,0,1.8,,
1.00E-08,1.8, , , ,2.55E-09,0,1.8,,
1.00E-08,1.8, , , ,2.57E-09,0,1.8,,
1.01E-08,1.8, , , ,2.59E-09,0,1.8,,
1.01E-08,1.8, , , ,2.61E-09,0,1.8,,
1.01E-08,1.8, , , ,2.61E-09,0,1.8,,
1.01E-08,1.8, , , ,2.62E-09,0,1.8,,
1.01E-08,1.8, , , ,2.62E-09,0,1.8,,
8.67E-09,1.8, , , ,2.63E-09,0,1.8,,
8.49E-09,1.8, , , ,2.63E-09,0,1.8,,
8.51E-09,1.8, , , ,2.64E-09,0,1.8,,
8.52E-09,1.8, , , ,2.65E-09,0,1.8,,
8.53E-09,1.8, , , ,2.65E-09,0,1.8,,
8.54E-09,1.8, , , ,2.66E-09,0,1.8,,
8.55E-09,1.8, , , ,2.67E-09,0,1.8,,
8.56E-09,1.8, , , ,2.68E-09,0,1.8,,
8.57E-09,1.8, , , ,2.70E-09,0,1.8,,
8.58E-09,1.8, , , ,2.71E-09,0,1.8,,
8.60E-09,1.8, , , ,2.73E-09,0,1.8,,
8.61E-09,1.8, , , ,2.75E-09,0,1.8,,
8.63E-09,1.8, , , ,2.77E-09,0,1.8,,
8.65E-09,1.8, , , ,2.78E-09,0,1.8,,
1.23E-08,1.8, , , ,2.80E-09,0,1.8,,
8.69E-09,1.8, , , ,2.81E-09,0,1.8,,
8.70E-09,1.8, , , ,2.82E-09,0,1.8,,
8.71E-09,1.8, , , ,2.83E-09,0,1.8,,
8.72E-09,1.8, , , ,2.84E-09,0,1.8,,
8.73E-09,1.8, , , ,2.84E-09,0,1.8,,
8.74E-09,1.8, , , ,2.85E-09,0,1.8,,
8.76E-09,1.8, , , ,2.86E-09,0,1.8,,
8.77E-09,1.8, , , ,2.86E-09,0,1.8,,
8.78E-09,1.8, , , ,2.87E-09,0,1.8,,
8.79E-09,1.8, , , ,2.89E-09,0,1.8,,
8.81E-09,1.8, , , ,2.90E-09,0,1.8,,
8.82E-09,1.8, , , ,2.91E-09,0,1.8,,
1.62E-08,1.8, , , ,2.93E-09,0,1.8,,
1.74E-08,1.8, , , ,2.94E-09,0,1.8,,
1.73E-08,1.8, , , ,2.96E-09,0,1.8,,
1.73E-08,1.8, , , ,2.98E-09,0,1.8,,
1.61E-08,1.8, , , ,3.01E-09,0,1.8,,
