Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V),,
 , ,2.26E-09,0,1.8,1.8,0,,
 , ,2.27E-09,0,1.8,1.8,0,,
 , ,2.29E-09,0,1.8,1.8,0,,
 , ,2.30E-09,0,1.8,1.8,0,,
 , ,2.31E-09,0,1.8,1.8,0,,
 , ,2.32E-09,0,1.8,1.8,0,,
 , ,2.33E-09,0,1.8,1.8,0,,
 , ,2.34E-09,0,1.8,1.8,0,,
 , ,2.35E-09,0,1.8,1.8,0,,
 , ,2.37E-09,0,1.8,1.8,0,,
 , ,2.38E-09,0,1.8,1.8,0,,
 , ,2.40E-09,0,1.8,1.8,0,,
 , ,2.42E-09,0,1.8,1.8,0,,
 , ,2.44E-09,0,1.8,1.8,0,,
 , ,2.45E-09,0,1.8,1.8,0,,
 , ,2.47E-09,0,1.8,1.8,0,,
 , ,2.49E-09,0,1.8,1.8,0,,
 , ,2.50E-09,0,1.8,1.8,0,,
 , ,2.51E-09,0,1.8,1.8,0,,
 , ,2.52E-09,0,1.8,1.8,0,,
 , ,2.53E-09,0,1.8,1.8,0,,
 , ,2.54E-09,0,1.8,1.8,0,,
 , ,2.55E-09,0,1.8,1.8,0,,
 , ,2.56E-09,0,1.8,1.8,0,,
 , ,2.57E-09,0,1.8,1.8,0,,
 , ,2.58E-09,0,1.8,1.8,0,,
 , ,2.60E-09,0,1.8,1.8,0,,
 , ,2.62E-09,0,1.8,1.8,0,,
 , ,2.64E-09,0,1.8,1.8,0,,
 , ,2.65E-09,0,1.8,1.8,0,,
 , ,2.67E-09,0,1.8,1.8,0,,
 , ,2.69E-09,0,1.8,1.8,0,,
 , ,2.71E-09,0,1.8,1.8,0,,
 , ,2.72E-09,0,1.8,1.8,0,,
 , ,2.73E-09,0,1.8,1.8,0,,
 , ,2.74E-09,0,1.8,1.8,0,,
 , ,2.75E-09,0,1.8,1.8,0,,
 , ,2.76E-09,0,1.8,1.8,0,,
 , ,2.77E-09,0,1.8,1.8,0,,
 , ,2.78E-09,0,1.8,1.8,0,,
 , ,2.80E-09,0,1.8,1.8,0,,
 , ,2.82E-09,0,1.8,1.8,0,,
 , ,2.84E-09,0,1.8,1.8,0,,
 , ,2.86E-09,0,1.8,1.8,0,,
 , ,2.89E-09,0,1.8,1.8,0,,
 , ,2.93E-09,0,1.8,1.8,0,,
 , ,2.99E-09,0,1.8,1.8,0,,
 , ,3.06E-09,0,1.8,1.8,0,,
 , ,3.12E-09,0,1.8,1.8,0,,
 , ,3.18E-09,0,1.8,1.8,0,,
 , ,3.23E-09,0,1.8,1.8,0,,
 , ,3.27E-09,0,1.8,1.8,0,,
 , ,3.36E-09,0,1.8,1.8,0,,
 , ,3.47E-09,0,1.8,1.8,0,,
 , ,3.58E-09,0,1.8,1.8,0,,
 , ,3.69E-09,0,1.8,1.8,0,,
 , ,3.82E-09,0,1.8,1.8,0,,
 , ,3.91E-09,0,1.8,1.8,0,,
 , ,4.00E-09,0,1.8,1.8,0,,
 , ,4.01E-09,1.23E-01,1.8,1.8,1.23E-01,,
 , ,4.02E-09,3.19E-01,1.8,1.8,3.19E-01,,
 , ,4.03E-09,5.78E-01,1.8,1.8,5.78E-01,,
 , ,4.04E-09,6.99E-01,1.8,1.8,6.99E-01,,
 , ,4.05E-09,8.27E-01,1.8,1.8,8.27E-01,,
 , ,4.05E-09,9.44E-01,1.8,1.8,9.44E-01,,
 , ,4.06E-09,1.026,1.8,1.8,1.026,,
 , ,4.06E-09,1.121,1.8,1.8,1.121,,
 , ,4.07E-09,1.264,1.8,1.8,1.264,,
 , ,4.08E-09,1.387,1.8,1.8,1.387,,
 , ,4.09E-09,1.567,1.8,1.8,1.567,,
 , ,4.09E-09,1.684,1.8,1.8,1.684,,
 , ,4.10E-09,1.8,1.8,1.8,1.8,,
 , ,4.10E-09,1.8,1.758,1.758,1.8,,
 , ,4.11E-09,1.8,1.698,1.698,1.8,,
 , ,4.11E-09,1.8,1.642,1.642,1.8,,
 , ,4.11E-09,1.8,1.563,1.563,1.8,,
 , ,4.12E-09,1.8,1.465,1.465,1.8,,
 , ,4.13E-09,1.8,1.35,1.35,1.8,,
 , ,4.13E-09,1.8,1.241,1.241,1.8,,
 , ,4.14E-09,1.8,1.12,1.12,1.8,,
 , ,4.15E-09,1.8,9.88E-01,9.88E-01,1.8,,
 , ,4.16E-09,1.8,8.19E-01,8.19E-01,1.8,,
 , ,4.17E-09,1.8,6.12E-01,6.12E-01,1.8,,
 , ,4.18E-09,1.8,4.32E-01,4.32E-01,1.8,,
 , ,4.19E-09,1.8,2.51E-01,2.51E-01,1.8,,
 , ,4.19E-09,1.8,1.26E-01,1.26E-01,1.8,,
 , ,4.20E-09,1.8,0,0,1.8,,
 , ,4.20E-09,1.8,0,0,1.8,,
 , ,4.21E-09,1.8,0,0,1.8,,
 , ,4.21E-09,1.8,0,0,1.8,,
 , ,4.21E-09,1.8,0,0,1.8,,
 , ,4.22E-09,1.8,0,0,1.8,,
 , ,4.22E-09,1.8,0,0,1.8,,
 , ,4.22E-09,1.8,0,0,1.8,,
 , ,4.22E-09,1.8,0,0,1.8,,
 , ,4.23E-09,1.8,0,0,1.8,,
 , ,4.23E-09,1.8,0,0,1.8,,
 , ,4.23E-09,1.8,0,0,1.8,,
 , ,4.24E-09,1.8,0,0,1.8,,
 , ,4.24E-09,1.8,0,0,1.8,,
 , ,4.25E-09,1.8,0,0,1.8,,
 , ,4.26E-09,1.8,0,0,1.8,,
 , ,4.27E-09,1.8,0,0,1.8,,
 , ,4.28E-09,1.8,0,0,1.8,,
 , ,4.29E-09,1.8,0,0,1.8,,
 , ,4.31E-09,1.8,0,0,1.8,,
 , ,4.33E-09,1.8,0,0,1.8,,
 , ,4.35E-09,1.8,0,0,1.8,,
 , ,4.37E-09,1.8,0,0,1.8,,
 , ,4.39E-09,1.8,0,0,1.8,,
 , ,4.40E-09,1.8,0,0,1.8,,
 , ,4.41E-09,1.8,0,0,1.8,,
 , ,4.42E-09,1.8,0,0,1.8,,
 , ,4.42E-09,1.8,0,0,1.8,,
 , ,4.43E-09,1.8,0,0,1.8,,
 , ,4.43E-09,1.8,0,0,1.8,,
 , ,4.44E-09,1.8,0,0,1.8,,
 , ,4.44E-09,1.8,0,0,1.8,,
 , ,4.45E-09,1.8,0,0,1.8,,
 , ,4.45E-09,1.8,0,0,1.8,,
 , ,4.46E-09,1.8,0,0,1.8,,
 , ,4.47E-09,1.8,0,0,1.8,,
 , ,4.48E-09,1.8,0,0,1.8,,
 , ,4.49E-09,1.8,0,0,1.8,,
 , ,4.51E-09,1.8,0,0,1.8,,
 , ,4.52E-09,1.8,0,0,1.8,,
 , ,4.54E-09,1.8,0,0,1.8,,
 , ,4.56E-09,1.8,0,0,1.8,,
 , ,4.57E-09,1.8,0,0,1.8,,
 , ,4.59E-09,1.8,0,0,1.8,,
 , ,4.61E-09,1.8,0,0,1.8,,
 , ,4.61E-09,1.8,0,0,1.8,,
 , ,4.62E-09,1.8,0,0,1.8,,
 , ,4.63E-09,1.8,0,0,1.8,,
 , ,4.63E-09,1.8,0,0,1.8,,
 , ,4.64E-09,1.8,0,0,1.8,,
 , ,4.64E-09,1.8,0,0,1.8,,
 , ,4.65E-09,1.8,0,0,1.8,,
 , ,4.65E-09,1.8,0,0,1.8,,
 , ,4.66E-09,1.8,0,0,1.8,,
 , ,4.66E-09,1.8,0,0,1.8,,
 , ,4.67E-09,1.8,0,0,1.8,,
 , ,4.68E-09,1.8,0,0,1.8,,
 , ,4.69E-09,1.8,0,0,1.8,,
 , ,4.71E-09,1.8,0,0,1.8,,
 , ,4.72E-09,1.8,0,0,1.8,,
 , ,4.74E-09,1.8,0,0,1.8,,
 , ,4.76E-09,1.8,0,0,1.8,,
 , ,4.78E-09,1.8,0,0,1.8,,
 , ,4.80E-09,1.8,0,0,1.8,,
 , ,4.82E-09,1.8,0,0,1.8,,
 , ,4.82E-09,1.8,0,0,1.8,,
 , ,4.83E-09,1.8,0,0,1.8,,
 , ,4.84E-09,1.8,0,0,1.8,,
 , ,4.85E-09,1.8,0,0,1.8,,
 , ,4.85E-09,1.8,0,0,1.8,,
 , ,4.86E-09,1.8,0,0,1.8,,
 , ,4.86E-09,1.8,0,0,1.8,,
 , ,4.87E-09,1.8,0,0,1.8,,
 , ,4.87E-09,1.8,0,0,1.8,,
 , ,4.89E-09,1.8,0,0,1.8,,
 , ,4.90E-09,1.8,0,0,1.8,,
 , ,4.91E-09,1.8,0,0,1.8,,
 , ,4.93E-09,1.8,0,0,1.8,,
 , ,4.94E-09,1.8,0,0,1.8,,
 , ,4.96E-09,1.8,0,0,1.8,,
 , ,4.98E-09,1.8,0,0,1.8,,
 , ,5.01E-09,1.8,0,0,1.8,,
 , ,5.05E-09,1.8,0,0,1.8,,
 , ,5.11E-09,1.8,0,0,1.8,,
 , ,5.18E-09,1.8,0,0,1.8,,
 , ,5.27E-09,1.8,0,0,1.8,,
 , ,5.37E-09,1.8,0,0,1.8,,
 , ,5.46E-09,1.8,0,0,1.8,,
 , ,5.53E-09,1.8,0,0,1.8,,
 , ,5.65E-09,1.8,0,0,1.8,,
 , ,5.74E-09,1.8,0,0,1.8,,
 , ,5.86E-09,1.8,0,0,1.8,,
 , ,5.93E-09,1.8,0,0,1.8,,
 , ,6.00E-09,1.8,1.49E-14,1.49E-14,1.8,,
 , ,6.01E-09,1.8,1.11E-01,1.11E-01,1.8,,
 , ,6.02E-09,1.8,2.95E-01,2.95E-01,1.8,,
 , ,6.03E-09,1.8,5.14E-01,5.14E-01,1.8,,
 , ,6.03E-09,1.8,6.18E-01,6.18E-01,1.8,,
 , ,6.04E-09,1.8,7.55E-01,7.55E-01,1.8,,
 , ,6.05E-09,1.8,8.54E-01,8.54E-01,1.8,,
 , ,6.05E-09,1.8,9.23E-01,9.23E-01,1.8,,
 , ,6.06E-09,1.8,1.00E+00,1.00E+00,1.8,,
 , ,6.06E-09,1.8,1.085,1.085,1.8,,
 , ,6.07E-09,1.8,1.225,1.225,1.8,,
 , ,6.07E-09,1.8,1.339,1.339,1.8,,
 , ,6.08E-09,1.8,1.498,1.498,1.8,,
 , ,6.09E-09,1.8,1.649,1.649,1.8,,
 , ,6.10E-09,1.8,1.8,1.8,1.8,,
 , ,6.10E-09,1.755,1.8,1.8,1.755,,
 , ,6.11E-09,1.685,1.8,1.8,1.685,,
 , ,6.11E-09,1.62,1.8,1.8,1.62,,
 , ,6.12E-09,1.536,1.8,1.8,1.536,,
 , ,6.12E-09,1.432,1.8,1.8,1.432,,
 , ,6.13E-09,1.322,1.8,1.8,1.322,,
 , ,6.13E-09,1.21,1.8,1.8,1.21,,
 , ,6.14E-09,1.085,1.8,1.8,1.085,,
 , ,6.15E-09,9.46E-01,1.8,1.8,9.46E-01,,
 , ,6.16E-09,7.80E-01,1.8,1.8,7.80E-01,,
 , ,6.17E-09,5.79E-01,1.8,1.8,5.79E-01,,
 , ,6.18E-09,3.88E-01,1.8,1.8,3.88E-01,,
 , ,6.19E-09,1.98E-01,1.8,1.8,1.98E-01,,
 , ,6.20E-09,9.89E-02,1.8,1.8,9.89E-02,,
 , ,6.20E-09,6.22E-15,1.8,1.8,6.22E-15,,
 , ,6.20E-09,0,1.8,1.8,0,,
 , ,6.21E-09,0,1.8,1.8,0,,
 , ,6.21E-09,0,1.8,1.8,0,,
 , ,6.21E-09,0,1.8,1.8,0,,
 , ,6.22E-09,0,1.8,1.8,0,,
 , ,6.23E-09,0,1.8,1.8,0,,
 , ,6.23E-09,0,1.8,1.8,0,,
 , ,6.23E-09,0,1.8,1.8,0,,
 , ,6.24E-09,0,1.8,1.8,0,,
 , ,6.24E-09,0,1.8,1.8,0,,
 , ,6.25E-09,0,1.8,1.8,0,,
 , ,6.26E-09,0,1.8,1.8,0,,
 , ,6.27E-09,0,1.8,1.8,0,,
 , ,6.28E-09,0,1.8,1.8,0,,
 , ,6.29E-09,0,1.8,1.8,0,,
 , ,6.30E-09,0,1.8,1.8,0,,
 , ,6.31E-09,0,1.8,1.8,0,,
 , ,6.32E-09,0,1.8,1.8,0,,
 , ,6.33E-09,0,1.8,1.8,0,,
 , ,6.34E-09,0,1.8,1.8,0,,
 , ,6.35E-09,0,1.8,1.8,0,,
 , ,6.36E-09,0,1.8,1.8,0,,
 , ,6.37E-09,0,1.8,1.8,0,,
 , ,6.39E-09,0,1.8,1.8,0,,
 , ,6.41E-09,0,1.8,1.8,0,,
 , ,6.42E-09,0,1.8,1.8,0,,
 , ,6.44E-09,0,1.8,1.8,0,,
 , ,6.46E-09,0,1.8,1.8,0,,
 , ,6.48E-09,0,1.8,1.8,0,,
 , ,6.49E-09,0,1.8,1.8,0,,
 , ,6.50E-09,0,1.8,1.8,0,,
 , ,6.51E-09,0,1.8,1.8,0,,
 , ,6.52E-09,0,1.8,1.8,0,,
 , ,6.53E-09,0,1.8,1.8,0,,
 , ,6.54E-09,0,1.8,1.8,0,,
 , ,6.55E-09,0,1.8,1.8,0,,
 , ,6.56E-09,0,1.8,1.8,0,,
 , ,6.57E-09,0,1.8,1.8,0,,
 , ,6.59E-09,0,1.8,1.8,0,,
 , ,6.60E-09,0,1.8,1.8,0,,
 , ,6.62E-09,0,1.8,1.8,0,,
 , ,6.64E-09,0,1.8,1.8,0,,
 , ,6.65E-09,0,1.8,1.8,0,,
 , ,6.67E-09,0,1.8,1.8,0,,
 , ,6.69E-09,0,1.8,1.8,0,,
 , ,6.70E-09,0,1.8,1.8,0,,
 , ,6.72E-09,0,1.8,1.8,0,,
 , ,6.73E-09,0,1.8,1.8,0,,
 , ,6.74E-09,0,1.8,1.8,0,,
 , ,6.75E-09,0,1.8,1.8,0,,
 , ,6.76E-09,0,1.8,1.8,0,,
 , ,6.77E-09,0,1.8,1.8,0,,
 , ,6.78E-09,0,1.8,1.8,0,,
 , ,6.80E-09,0,1.8,1.8,0,,
 , ,6.82E-09,0,1.8,1.8,0,,
 , ,6.84E-09,0,1.8,1.8,0,,
 , ,6.86E-09,0,1.8,1.8,0,,
 , ,6.89E-09,0,1.8,1.8,0,,
 , ,6.93E-09,0,1.8,1.8,0,,
 , ,6.98E-09,0,1.8,1.8,0,,
 , ,7.04E-09,0,1.8,1.8,0,,
 , ,7.11E-09,0,1.8,1.8,0,,
 , ,7.16E-09,0,1.8,1.8,0,,
 , ,7.21E-09,0,1.8,1.8,0,,
 , ,7.26E-09,0,1.8,1.8,0,,
 , ,7.34E-09,0,1.8,1.8,0,,
 , ,7.45E-09,0,1.8,1.8,0,,
 , ,7.56E-09,0,1.8,1.8,0,,
 , ,7.67E-09,0,1.8,1.8,0,,
 , ,7.79E-09,0,1.8,1.8,0,,
 , ,7.90E-09,0,1.8,1.8,0,,
 , ,8.00E-09,0,1.8,1.8,0,,
 , ,8.01E-09,1.29E-01,1.8,1.8,1.29E-01,,
 , ,8.02E-09,3.33E-01,1.8,1.8,3.33E-01,,
 , ,8.03E-09,4.85E-01,1.8,1.8,4.85E-01,,
 , ,8.03E-09,5.76E-01,1.8,1.8,5.76E-01,,
 , ,8.04E-09,7.10E-01,1.8,1.8,7.10E-01,,
 , ,8.05E-09,8.05E-01,1.8,1.8,8.05E-01,,
 , ,8.05E-09,8.80E-01,1.8,1.8,8.80E-01,,
 , ,8.05E-09,9.65E-01,1.8,1.8,9.65E-01,,
 , ,8.06E-09,1.041,1.8,1.8,1.041,,
 , ,8.06E-09,1.15,1.8,1.8,1.15,,
 , ,8.07E-09,1.261,1.8,1.8,1.261,,
 , ,8.08E-09,1.39,1.8,1.8,1.39,,
 , ,8.09E-09,1.564,1.8,1.8,1.564,,
 , ,8.09E-09,1.682,1.8,1.8,1.682,,
 , ,8.10E-09,1.8,1.8,1.8,1.8,,
 , ,8.10E-09,1.8,1.758,1.758,1.8,,
 , ,8.11E-09,1.8,1.698,1.698,1.8,,
 , ,8.11E-09,1.8,1.641,1.641,1.8,,
 , ,8.11E-09,1.8,1.561,1.561,1.8,,
 , ,8.12E-09,1.8,1.463,1.463,1.8,,
 , ,8.13E-09,1.8,1.349,1.349,1.8,,
 , ,8.13E-09,1.8,1.24,1.24,1.8,,
 , ,8.14E-09,1.8,1.119,1.119,1.8,,
 , ,8.15E-09,1.8,9.87E-01,9.87E-01,1.8,,
 , ,8.16E-09,1.8,8.18E-01,8.18E-01,1.8,,
 , ,8.17E-09,1.8,6.11E-01,6.11E-01,1.8,,
 , ,8.18E-09,1.8,4.30E-01,4.30E-01,1.8,,
 , ,8.19E-09,1.8,2.50E-01,2.50E-01,1.8,,
 , ,8.19E-09,1.8,1.25E-01,1.25E-01,1.8,,
 , ,8.20E-09,1.8,0,0,1.8,,
 , ,8.20E-09,1.8,0,0,1.8,,
 , ,8.21E-09,1.8,0,0,1.8,,
 , ,8.21E-09,1.8,0,0,1.8,,
 , ,8.21E-09,1.8,0,0,1.8,,
 , ,8.22E-09,1.8,0,0,1.8,,
 , ,8.22E-09,1.8,0,0,1.8,,
 , ,8.22E-09,1.8,0,0,1.8,,
 , ,8.22E-09,1.8,0,0,1.8,,
 , ,8.23E-09,1.8,0,0,1.8,,
 , ,8.23E-09,1.8,0,0,1.8,,
