Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V)
 , ,2.224E-9,1.800,1.800,1.800,1.800
 , ,2.229E-9,1.800,1.800,1.800,1.800
 , ,2.233E-9,1.800,1.800,1.800,1.800
 , ,2.237E-9,1.800,1.800,1.800,1.800
 , ,2.242E-9,1.800,1.800,1.800,1.800
 , ,2.246E-9,1.800,1.800,1.800,1.800
 , ,2.253E-9,1.800,1.800,1.800,1.800
 , ,2.261E-9,1.800,1.800,1.800,1.800
 , ,2.270E-9,1.800,1.800,1.800,1.800
 , ,2.283E-9,1.800,1.800,1.800,1.800
 , ,2.297E-9,1.800,1.800,1.800,1.800
 , ,2.311E-9,1.800,1.800,1.800,1.800
 , ,2.327E-9,1.800,1.800,1.800,1.800
 , ,2.342E-9,1.800,1.800,1.800,1.800
 , ,2.351E-9,1.800,1.800,1.800,1.800
 , ,2.361E-9,1.800,1.800,1.800,1.800
 , ,2.368E-9,1.800,1.800,1.800,1.800
 , ,2.378E-9,1.800,1.800,1.800,1.800
 , ,2.386E-9,1.800,1.800,1.800,1.800
 , ,2.397E-9,1.800,1.800,1.800,1.800
 , ,2.409E-9,1.800,1.800,1.800,1.800
 , ,2.421E-9,1.800,1.800,1.800,1.800
 , ,2.438E-9,1.800,1.800,1.800,1.800
 , ,2.454E-9,1.800,1.800,1.800,1.800
 , ,2.468E-9,1.800,1.800,1.800,1.800
 , ,2.483E-9,1.800,1.800,1.800,1.800
 , ,2.495E-9,1.800,1.800,1.800,1.800
 , ,2.510E-9,1.800,1.800,1.800,1.800
 , ,2.528E-9,1.800,1.800,1.800,1.800
 , ,2.543E-9,1.800,1.800,1.800,1.800
 , ,2.552E-9,1.800,1.800,1.800,1.800
 , ,2.559E-9,1.800,1.800,1.800,1.800
 , ,2.567E-9,1.800,1.800,1.800,1.800
 , ,2.576E-9,1.800,1.800,1.800,1.800
 , ,2.584E-9,1.800,1.800,1.800,1.800
 , ,2.594E-9,1.800,1.800,1.800,1.800
 , ,2.604E-9,1.800,1.800,1.800,1.800
 , ,2.620E-9,1.800,1.800,1.800,1.800
 , ,2.645E-9,1.800,1.800,1.800,1.800
 , ,2.677E-9,1.800,1.800,1.800,1.800
 , ,2.713E-9,1.800,1.800,1.800,1.800
 , ,2.756E-9,1.800,1.800,1.800,1.800
 , ,2.810E-9,1.800,1.800,1.800,1.800
 , ,2.873E-9,1.800,1.800,1.800,1.800
 , ,2.938E-9,1.800,1.800,1.800,1.800
 , ,3.025E-9,1.800,1.800,1.800,1.800
 , ,3.129E-9,1.800,1.800,1.800,1.800
 , ,3.231E-9,1.800,1.800,1.800,1.800
 , ,3.325E-9,1.800,1.800,1.800,1.800
 , ,3.411E-9,1.800,1.800,1.800,1.800
 , ,3.497E-9,1.800,1.800,1.800,1.800
 , ,3.656E-9,1.800,1.800,1.800,1.800
 , ,3.858E-9,1.800,1.800,1.800,1.800
 , ,4.000E-9,1.800,1.800,1.800,1.800
 , ,4.006E-9,1.800,1.800,1.800,1.800
 , ,4.017E-9,1.800,1.800,1.800,1.800
 , ,4.024E-9,1.800,1.800,1.800,1.800
 , ,4.027E-9,1.800,1.800,1.800,1.800
 , ,4.035E-9,1.800,1.800,1.800,1.800
 , ,4.040E-9,1.800,1.800,1.800,1.800
 , ,4.046E-9,1.800,1.800,1.800,1.800
 , ,4.050E-9,1.800,1.800,1.800,1.800
 , ,4.054E-9,1.800,1.800,1.800,1.800
 , ,4.059E-9,1.800,1.800,1.800,1.800
 , ,4.066E-9,1.800,1.800,1.800,1.800
 , ,4.072E-9,1.800,1.800,1.800,1.800
 , ,4.080E-9,1.800,1.800,1.800,1.800
 , ,4.090E-9,1.800,1.800,1.800,1.800
 , ,4.095E-9,1.800,1.800,1.800,1.800
 , ,4.100E-9,1.800,1.800,1.800,1.800
 , ,4.102E-9,1.763,1.763,1.763,1.763
 , ,4.105E-9,1.712,1.712,1.712,1.712
 , ,4.108E-9,1.664,1.664,1.664,1.664
 , ,4.112E-9,1.590,1.590,1.590,1.590
 , ,4.117E-9,1.502,1.502,1.502,1.502
 , ,4.122E-9,1.404,1.404,1.404,1.404
 , ,4.126E-9,1.327,1.327,1.327,1.327
 , ,4.131E-9,1.237,1.237,1.237,1.237
 , ,4.137E-9,1.126,1.126,1.126,1.126
