Expression ,Value,time (s),/Bin<1> (V),/Ain<1> (V),/Ain<0> (V),/Bin<0> (V)
 , ,1.685E-9,0.000,1.800,0.000,1.800
 , ,1.789E-9,0.000,1.800,0.000,1.800
 , ,1.901E-9,0.000,1.800,0.000,1.800
 , ,2.000E-9,0.000,1.800,0.000,1.800
 , ,2.007E-9,126.1E-3,1.800,126.1E-3,1.800
 , ,2.018E-9,325.3E-3,1.800,325.3E-3,1.800
 , ,2.027E-9,487.6E-3,1.800,487.6E-3,1.800
 , ,2.032E-9,580.1E-3,1.800,580.1E-3,1.800
 , ,2.040E-9,714.4E-3,1.800,714.4E-3,1.800
 , ,2.045E-9,810.1E-3,1.800,810.1E-3,1.800
 , ,2.049E-9,881.4E-3,1.800,881.4E-3,1.800
 , ,2.054E-9,965.1E-3,1.800,965.1E-3,1.800
 , ,2.058E-9,1.041,1.800,1.041,1.800
 , ,2.064E-9,1.152,1.800,1.152,1.800
 , ,2.070E-9,1.262,1.800,1.262,1.800
 , ,2.077E-9,1.391,1.800,1.391,1.800
 , ,2.087E-9,1.566,1.800,1.566,1.800
 , ,2.093E-9,1.683,1.800,1.683,1.800
 , ,2.100E-9,1.800,1.800,1.800,1.800
 , ,2.102E-9,1.800,1.760,1.800,1.760
 , ,2.106E-9,1.800,1.700,1.800,1.700
 , ,2.109E-9,1.800,1.644,1.800,1.644
 , ,2.113E-9,1.800,1.568,1.800,1.568
 , ,2.118E-9,1.800,1.474,1.800,1.474
 , ,2.124E-9,1.800,1.372,1.800,1.372
 , ,2.128E-9,1.800,1.295,1.800,1.295
 , ,2.132E-9,1.800,1.217,1.800,1.217
 , ,2.139E-9,1.800,1.096,1.800,1.096
 , ,2.146E-9,1.800,971.6E-3,1.800,971.6E-3
 , ,2.154E-9,1.800,834.5E-3,1.800,834.5E-3
 , ,2.161E-9,1.800,709.2E-3,1.800,709.2E-3
 , ,2.170E-9,1.800,539.8E-3,1.800,539.8E-3
 , ,2.180E-9,1.800,354.7E-3,1.800,354.7E-3
 , ,2.190E-9,1.800,175.8E-3,1.800,175.8E-3
 , ,2.200E-9,1.800,0.000,1.800,0.000
 , ,2.202E-9,1.800,0.000,1.800,0.000
 , ,2.206E-9,1.800,0.000,1.800,0.000
 , ,2.210E-9,1.800,0.000,1.800,0.000
 , ,2.214E-9,1.800,0.000,1.800,0.000
 , ,2.216E-9,1.800,0.000,1.800,0.000
